question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
Why was the report WBUBNF sent back?,asking for individual status,,"This was sent back by Matthew Forsberg with the following message: ""Can you please provide the receipt from the airfare including your plan ticket receipts. if you have questions please reach out to me directly."" 
Please reach out to him and asking him what he means by ""plane tickets receipts""
Thanks. ",External Individual's Record,
"Elias wants to run a report to see how many expense reports were entered by each delegate in his department last year, but Ruth Torres is currently the Reporting Manager. How can he switch to being the Reporting Manager? Your DAF, Will Yandolino, can change the Reporting Manager. Can you confirm?",in-scope,,"Your DAF (Will Yandolino) can change who is the Reporting Manager for the Sub-Division. Instructions for Will are in this job aid starting on pg. 5:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Training%20Guides/Training_Guide_Concur_Managing_Settings_DAFs.pdf",Valid,
Can you provide guidance on the partial flight reimbursement for ep2828?,asking for individual status,,provided caller with guidance.,Indirect Answer,
I need to know how to enter the Admin Department on the report header. Is it working now?,in-scope,,Now working.,Solved Offline,
Can I get reimbursement for computer repair?,in-scope,,All services require a PO reardless of the amount,Valid,
"I'm trying to help a user who is getting an error when attempting to log into Concur. We even tried using incognito mode, but the error persists.",in-scope,,"Hi Roberto,
Jenilyn's login email was pointing to an old email. I've updated it to  jr4445@columbia.edu, please give the login another try.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External Individual's Record,
"I'm processing travel reimbursements for participants of the Unthought conference, but one of the vendors, Barbara Savage (Vendor ID 0000013959), does not appear in Concur. She is active in ARC and I have processed her honorarium but need her listed in Concur as an outside party.",in-scope,,"Edwin
Vendor , # 0000013959 has a classification of ""Supplier"" and this is not going to be available through concur . The oly vendors that can be available though concur are the ones with an ""Outside Party Classification""
You can process Barbara's reimbursement through ARC on a check request
Make sure you uncheck the withholdin applicable box on the withholding information page so that she can not be taxed on the reimbursement
Thanks
",Valid,
I noticed that the reimbursement was processed for the wrong student; what can I do about it?,in-scope,,"Have student write a check to the Trustees of Columbia for the amount recieved
Process check depost through FinSys  and then process reimbursement to the correct payee",Valid,
"I need confirmation about Dr. Elena Donald's Concur expense report. It was approved for payment, but I cannot find the report. Can you tell me if a check has been issued and when, and provide the voucher ID?",asking for individual status,,"Payment Date 11/20/2023
Pay Reference 2001212220
This is a direct deposit to the account where she receives her payroll payment
Thanks",External Individual's Record,
Can someone explain the Concur workflow?,in-scope,,Routed to the department's financial approver based on the threshold.,Valid,
"I need information about an inactive student, cnr0082241; what does this mean for processing?",asking for individual status,,Students must register for a current or future semester  and should aloso have a local US mailin address in SSOL  to maintain active ARC profile,Valid,
"I have an old booking fee on my account that I don't know how to reconcile or dispute, as ticket INC2523445 was closed without resolutions.",in-scope,,"Good morning Celeste,
Please construct an expense report for the $10 fee and work with Molly to allocate the charge. you can upload the email trail as support for the charge. Let me know if i can help with anything else.

Thank you for being so patience.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"I'm having trouble logging in to Concur, and here is my support ID: 6c30b18bfaacce62bbebbb33f9bff6e1. Can you help?",in-scope,,New hire documents have to be fully processed and active PAC profile established before employees can get access to concur,Valid,
What are the Concur threshold guidelines?,in-scope,,Stay within threshold for group meal,Valid,
"Could you provide more information on what the $35 booking fee is for? It's appearing under my profile for UNI: bjh2180, and neither I nor my department can identify it. I booked a flight through Concur, but this fee was already reconciled on report key 205418. Thanks.",in-scope,,"Hi Frances,
I see that there were booking activities on 7/12/2023, please confirm whether there were cancellations, if so, the $35 would be the service fees.
Please email me if you have other questions. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127   ",External Individual's Record,
I need to understand how to use Concur.,in-scope,,Vendor name for hotel not listed use other and make note of the hotel information in the comments box.,Valid,
Can you confirm if I should use report type 'CU Travel Expenses' and enter the traveler's name and business purpose in the 'Detailed Business Purpose' box on the header for Central Pay Transactions for an Outside Party Train Travel?,in-scope,,"Use report type ""CU Travel Expenses"" and enter the name of the traveler and business purpose in the ""Detailed Business Purpose"" box on the header.",Valid,
Can someone please guide me on how to add documentation to an expense report? I heard Karen will do this under the Expense tab instead of the Requests tab.,in-scope,,Karen will do this under the Expense tab rather than the Requests tab.,Solved Offline,
I need help with my hotel reservation through Concur.,in-scope,," hotel stays are not prepaid in advance like an airline ticket 
Credit card to be presented upon check in                                    ",Valid,
I'm facing an issue where United Airlines is not available among the choices for booking a trip.,in-scope,,"Directed to  World Travel, Inc. (WTI) 1-855-961-0313.                         ",Redirection,
"I noticed that Concur is not calculating my Per Diem correctly. I flew to Chicago on December 26 at 9:00 am and arrived at 10:47 pm, then flew back on December 27 at 4:44 pm and arrived in NYC at 7:55 pm. Can someone assist me with this?",in-scope,,"I will resolve. I apologize, I think I read it wrong. I thought you meant she only stayed for 12 hours with no overnight stay. Glad you were able to enter it in manually. ",Solved Offline,
Can someone assist me with my airline purchase through Concur?,in-scope,,regular non-refundable fares should be purchased on both - domestic and international flights.,Valid,
"I'm having trouble finding the initial reviewer for the reimbursement I want to submit. My business office provided me with some names, but none appear on the dropdown menu. Can you help?",in-scope,,"Updated Division, Sub-Division, and Admin Department.",Solved Offline,
"I was removed from being a reviewer on Concur. Can you help me resolve this? My preferred contact method is phone, and my contact information is 9173060590.",asking for individual status,,Confirmed that user has concur initial reviewer role,Solved Offline,
What is the status of my ticket INC2527424?,asking for individual status,,"Resolution on   INC2527424

If the student is registered in a the current semester and has a domestic address in their student portal, they should have an active CNR ID that will allow the department personnel to submit expenses on their behalf. If the department wants the student to have their own access a self-service ticket has to be submitted by Department DAF & it should contain the students name, uni , & the kind of access requested(either Business expense Travel Expense or both).
You can more information on how the DAF can request that access here in section 8: https://travel-expense.finance.columbia.edu/content/getting-started
",External Individual's Record,
"Could you please check if I, Matthew Rupert (mbr2163), am active in the system? We need it to submit my travel advance reconciliation.",asking for individual status,,"Hi Hameer,
Matthew's Concur profile has been updated. it is now active.
Let me know if you have other questions. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External Individual's Record,
How can I reconcile a charge on my corporate card for a future hotel stay?,in-scope,,"Hotel stays can't be reconciled prior to the hotel stay. Please add it to an expense report, but do not submit until after the hotel stay. That should stop the notifications. ",Valid,
Could you explain why I can't use the chartstring GENRL_6225103_GT007485_01_00000_AC4665 for reimbursement? I was told it does not populate when I enter it into the system.,in-scope,,"Karin,
GT007485 doesn't have a valid FY24 budget. Concur only carries projects that have a valid FY budget. Please work with the budget director/DA to have a budget entered in the budget tool for this project
Thanks",External Individual's Record,
"I am having difficulty submitting my expense report in Concur. I was able to submit it originally, but after it was sent back for more information and I added it, I keep getting an error now that the amounts are over the limit, which they aren't. My report number is 13ZRAY, and I've been trying for a few months, even trying to recall and create a new one at Chris Gu's suggestion, but nothing has worked.",asking for individual status,,report has been submitted into workflow.,Solved Offline,
"I seem to be having issues with my access to Concur. I had to redo my CAS logins yesterday, and now I am blocked from accessing Concur. I've requested a new password three times but haven't received anything back. I'm not sure how to get help with Concur. Can either of you assist me? I need to enter my expenses from AGU.",in-scope,,"Hi Margaret,
your Concur account is active with no issues. Please make sure your duo authentication email setup matches your Concur login email. both email should be mjt24@columbia.edu.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
What can I do regarding Concur travel?,in-scope,,Expand travel search in order to view additional flight information. Can also call WTI to get more flight availability 855-961-0313,Valid,
I need help with reimbursing an alumna for expenses she incurred while a student at Columbia. How can I add her to the expense report so that she can receive the payment?,in-scope,,Please ask the department to help you set up the vendor in Payment Works as they are no longer active in the system. Thank you,Valid,
"As a student, I don't have default access to login to Concur. What are my options for getting reimbursed? I heard that my department can either enter the expense report for me or request to have me opted into Concur so I can do it myself. Can you provide more details?",in-scope,,"Hi Petra,

As a student, you do not have default access to login to Concur. There are two options to reimburse you:

1. Your department can enter the expense report on your behalf using a ""non-profiled payee"" report type.

2. Your department can request to have you ""opted in"" to Concur so that you can login to Concur and enter the expense report yourself. 

Please follow up with your department to see which option they want to use.

Best,
Kate",Valid,
Is there a status update on access for student edb2154?,asking for individual status,,"If the student is registered in a the current semester and has a domestic address in their student portal, they should have an active CNR ID that will allow the department personnel to submit expenses on their behalf. If the department wants the student to have their own access a self-service ticket has to be submitted by Department DAF & it should contain the students name, uni , & the kind of access requested(either Business expense Travel Expense or both).
You can more information on how the DAF can request that access here in section 8: https://travel-expense.finance.columbia.edu/content/getting-started
",Valid,
Is there a Concur report that shows the time in queue from submission to approval?,in-scope,,"You can view all reports approved or pending your approval by going to the approvals tab, then selecting reports and you can view the reports based on pending or approved. Reopen ticket if additional information",Valid,
Does sjb33 have access to Concur?,asking for individual status,,"Yes, Sarah does have Concur access.
Thanks. ",Valid,
"Hello and Happy New Year. Our department administrator has approved a Concur request, but it came back to her queue without any send back to me, and now she is unable to approve it again as she receives a message - see attachment. The expense report is entered under my name, Tian Huai Shen (ths2109@cumc.columbia.edu).",in-scope,,Irina was both inserted into the workflow and is the Financial Approver. That is why she has to approve twice. She must select the appropriate SBO in order for the report to proceed.,External Individual’s Record,
Concur mwd2126 user is active but not showing in Concur.,asking for individual status,,"Hi Altagracia,
Active Concur account are not ""Non-Profile Payee"", as they have a profile and need to submit their own expense reports.
Let me know if you have other questions. Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Indirect Answer,
I have a student expense. Can you assist me with this?,in-scope,,Expenses >120 days require justifications,Indirect Answer,
"I would like to contact user preferences listed below: Preferred contact: Requested by, Preferred contact method: Email, Contact information: eg3072@cumc.columbia.edu. Concur does not allow me to submit my expense report to my approver.",asking for individual status,,"Spoke to Enoe by phone. She wants expense reports to go to Richard rc3028 as the Supervisor for approval in Concur. Richard has completed training and is Enoe's PAC supervisor. 
Advised to reach out to Raquel Marin and ask to have Richard ""opted-in as a Concur supervisor"" so that reports will go to him automatically for the first level of approval.",Solved Offline,
I have a relocation expense. Can you help me with this?,in-scope,,Use expense type  Moving/relocation   ad enter one expense line forthe total amount of the expenses,Valid,
I need assistance with the reconciliation of reports. Report Key: 223398.,asking for individual status,,Proof of payment is required for hotel lodging inorder to get reimbursed,Valid,
A student will go to Uganda for research purposes. She has already purchased her ticket. She will fly from NYC to London (including stay for visiting family) to Uganda by Qatar Airways and follow the route in reverse to return to her home in Brooklyn. I notified her that the family visit included via London ticket cannot be submitted and asked her for comparison airfare. The Qatar Airways flights not going via London are double the amount. Is it possible to reimburse the London ticket as the price difference is so huge and she has purchased the ticket already? She will be reimbursed for $829 for the purchased ticket.,in-scope,,Reimbursement will be for original flight since that is the most cost efficient one,Valid,
"I do not receive email alerts when there is activity in Concur related to my requests and expenses. I'm not sure why, because in my Concur profile, under ""Request Preferences,"" I've checked the boxes to send email alerts for when the status of a request changes, when a request is submitted for approval, and so forth. I do not receive email for these circumstances.",asking for individual status,,Alexis was able to verify her email address.,Solved Offline,
Why am I getting a Concur ls3488 error saying there are no open requests?,in-scope,,"Thank you for your note. 
I see that Request ID: 4LVW was applied to report 222293. i've now closed the request.",Solved Offline,
How do I reconcile Central Pay transactions in Concur?,in-scope,,"Hi Joan,

Here is the tip with instructions on how to add the expenses to an expense report:
https://travel-expense.finance.columbia.edu/news/how-do-i-reconcile-corporate-card-or-airrail-central-pay-transactions

Here is the job aid with more detailed information on expense reports:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Creating_Expense_Reports.pdf

Best,
Kate",Valid,
What does it mean for Ivan M (im2527) to be inactive?,asking for individual status,,Student is no longer active in the system as of 9/1/23. Please send PW invite and once profile is active submit reimbursement. Thank you,External Individual’s Record,
I received a notification about outstanding credit card transactions in my reconciliation process; what should I do?,in-scope,,"Dr. Marr has not submitted the reports. Please have him submit them. 
Thanks. ",External Individual’s Record,
Can you provide information on the Concur workflow?,in-scope,,"Report is pending approval from Reyes, Janet. ",External Individual’s Record,
How do I handle reconciling both the original expense and the credit for my cancelled trip?,in-scope,,"Both the original expense and the credit will need to be reconciled (added to expense reports, comments, entered, etc.).",Valid,
What should I do about the hotel expenses that are over the threshold?,in-scope,,"For lodging that is over the threshold you must segregate the expense in concur. You can find instructions for how to segregate in the job aid below pgs 5-7, which ever scenario is applicable: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Itemizing_Lodging.pdf
Please note the department can choose to only reimburse the $350 or the full amount. Regardless it will require SBO approval. If the expense is on a sponsor project and the department agrees to pay the over the threshold amount, you will need to provide a unrestricted chartstring to cover the over the threshold amount. ",Valid,
"I was trying to log into Concur, but I received an error message. How can I bypass this?",in-scope,,Will need to reach out to department for reimbursement.,Redirection,
How do I reinstate my Concur access after returning from leave and running the September 2023 chartfield statement bank account reconciliation for 2516122 and 11116?,in-scope,,"Your concur access will be reinstated through the ARC reinstate app you submitted.
Please find attached requested reports.",Solved Offline,
What information is related to Report Key: 225001 mt3693?,asking for individual status,,"Report Key :225001
Returned for correction",External Individual’s Record,
I booked a business class fare through Concur. Does this require me to compare it with an economic fare?,in-scope,,Comparison airfare is required for a business class trip regardless of how the booking is done( through concur or outside of concur),Valid,
Could you please route Concur Reports 192598 and 194603 to my queue (kh313) as the previous SBO officer is no longer with the university?,asking for individual status,,Karen will have the delegate recall the report. It will then need to be resubmitted and when it reaches the Financial Approver they can select the correct SBO.,Valid,
"Good morning, I'm writing about Arnold Gordon, UNI alg3, who can't log into Concur anymore. He doesn't receive emails sent to his UNI address either. Can you assist?",asking for individual status,,"As a retired professor, Arnold no longer has access to Concur automatically, even if he has a secondary appointment. Concur access is based on the primary appointment and all retired professors' primary appointments are as retirees. There are two options to submit expenses:

1. If he doesn't have an active outside party ID, which Arnold does not, then the Department needs to send him a PaymentWorks invitation to have him set up with an outside party vendor ID. Instructions on how to send the invitation can be found here: https://www.finance.columbia.edu/content/schools-and-departments-0
Once the vendor ID is issued, a department employee can process his reimbursements as a non-profile payee in Concur. job aid found here: https://travel-expense.finance.columbia.edu/news/how-do-i-create-expense-report-behalf-someone-else

2. If Arnold prefers to enter the expenses in himself and wants Concur access, after he has been issued the outside party vendor ID, your department would have to apply for AFFILIATE access through the Financial Systems Security App in ServiceNow. Information on how to submit the application can be found here: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Travel%20and%20Expense/Job_Aid_Concur_Affiliates_FSSA.pdf ***Please note: Access for affiliates can be requested up to one year. A renewal would be required after the expiration date by submitting reinstate ARC request.

Let me know if you have any other question",External Individual’s Record,
I'm encountering an error that says 'we encountered an error processing your request' when I try to log in to Concur. Could you help me resolve this?,in-scope,,Concur access is active. I was able to log in with user's uni,Indirect Answer,
Could you please advise me on how to correctly proceed with the Missing Receipt Affidavit? The delegate can't add it on behalf of the payee. Thank you.,in-scope,,Missing receipt declaration  can not be completed by  delegate. Only the payee can do that,Valid,
"Hi, I have a question regarding an expense report I've worked on. I'm trying to process a report for a group meeting/event—the Holiday Luncheon that our office attended. The Vice Provost paid using her personal credit card, and this is my first time submitting a report on her behalf, as I'm delegated to do so. However, I've received 2 alerts; could you clarify what corrective action I should take to facilitate the processing of this report?",in-scope,,Provided information on alerts and submission of reports when acting as a delegate.,Repeating the Question,
I'm having issues with Concur. Can you provide assistance?,in-scope,,"There is  currently a SAP Concura systems outage impacting Travel and Expense users.

",Valid,
"Hello! I hope you are doing well. We have invited two non-affiliate speakers to come to campus later this month/early February, and I need to book their air travel and hotels. I currently have a pcard that allows for travel and hotel expenses. How do I go about booking flights for them? Thank you!",in-scope,,Provided instructions on how to process bookings for guests,Repeating the Question,
"Hello, one of our post-doc scholars is interested in taking a course that costs $400.00. I'm writing to confirm if this is an allowable reimbursable expense. If so, can she pay for it using a personal credit card, or should the purchase be made directly by the department? I attempted to find this information using the purchasing toolkit and the procurement mechanism spreadsheet, but I couldn't find anything related. Thank you, Alexa.",in-scope,,Expense paid for training is reimbursable,Indirect Answer,
I'm inquiring about the reimbursement for qd2125. Could you assist me with this?,asking for individual status,,Reward points can not be used for CU Business expense and are not reimbursable,External individual's record,
I'm checking the status of my reimbursement report with a value of $820.00 and the report key is 231151. Can you provide an update on this?,asking for individual status,,Address for  Report Key :231151  is valid and studnet has ACH default location,External individual's record,
"I see the car rentals under the Travel tab, but I want to clarify how the traveler paid for the car rental. Was it with a corporate card or a personal card? Can you assist me with this?",in-scope,,"Seeing under the Travel tab but this is just a record of trips booked through Concur, not an expense to be reconciled. 
Please confirm with the traveler how they paid for the car rental, corporate card or personal card.",Valid,
I need to change my designation in the system from alumni/student to Contractor because I was just hired at the university and I'm assisting with reconciliations for my boss. Could you advise me on what needs to be done for me to be added to his Concur account as a delegate?,in-scope,,New hire documents have to be fully processed and active PAC profile established before employee can have access to concur,Valid,
"I submitted report UNI MH3602 in Concur, but I'm unable to select Miguel as the Initial Reviewer. Can someone assist me with this issue?",asking for individual status,,"Miguel is not an IA for dept 7532202.
See attached file.",External individual's record,
"We have a reimbursement for $988.00, but I need to segregate $358.00 since it exceeds the meal threshold. I'm considering two options for the segregation: Option 1 $342.00 alcohol, $288.00 meal, $358.00 meal segregated or Option 2 $342.00 alcohol, $630.00 meal, $16.00 meal segregated. Can someone confirm if alcohol can be treated separately from the meal segregation? The Report Key is 237797.",asking for individual status,,Segregating meal that is over threshold,External individual's record,
I changed the School/Division/Sub-Division/Admin Department on an expense report and resubmitted it. I've selected Manidipa Sengupta as the Initial Reviewer. Is there anything else I need to do?,in-scope,,Changed School/Division/Sub-Division/Admin Department on the report to Epidemiology and resubmitted. Selected Manidipa Sengupta as the Initial Reviewer.,Valid,
What is the purpose of the meal segregated category in the itemization?,in-scope,,"The meals segregated category is used when the meal amount goes over the threshold.  For example if the breakfast comes to $30 before tax and tip, it's over the threshold by $5. You would put $25 in the meal category and $5 in the meal segregated category when itemizing. ",Valid,
"I have a question regarding tips that exceed 20% being non-reimbursable. Also, I've noticed that expense report 216533 under Yesenia's profile is routing directly to Anne Sullivan. Yesenia cannot approve her own expenses. Can someone suggest solutions for this approval routing issue?",asking for individual status,,"1. Tips in excess of 20% are non-reimburseable (https://universitypolicies.columbia.edu/content/business-expense-policy)

2. Expense report 216533 under Yesenia's profile is routing directly to Anne Sullivan. Yesenia is the Levels 1-4 approver for department 5010103 and she cannot approve her own expenses. This is why it is routing to Anne. Suggested two solutions to this: 1. Move the expenses (Central Pay transactions for another employee) to a different person, then Yesenia can approve or 2. Change the Level 4 approver for this department to someone else so the report can route to this person for Financial Approval.
There is also the issue that the Supervisor level approval is being skipped on this report in error. If the report gets moved to another person can check if this happens to them as well. If the Level 4 approver is changed we will need to investigate if the Supervisor is still being skipped.",External individual's record,
I have a concern about the Concur access for km3999. Can someone check what the issue is?,asking for individual status,,"I am unable to locate km3999 in PAC which means she is an affiliate. Affiliates don't get Concur access automatically:

Here is the job aid with instructions on how to get access to Concur as an affiliate:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Travel%20and%20Expense/Job_Aid_Concur_Affiliates_FSSA.pdf

Once she is set up, she can assign you as a delegate so that you can enter her expenses by following this job aid:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf
",External individual's record,
Soonhee Moon can't use CONCUR because the system says she doesn't exist. How can we resolve this issue?,asking for individual status,,"
Her profile is active. I am able to log in. Please be sure she is logging in with her uni only (not email address) and password. She should use this link https://travel-expense.finance.columbia.edu/
If that doesn't work, please send a screenshot of the error message she gets during sign on. Also please be sure she is signing in with her uni sm4215.",External individual's record,
"I'm traveling in April to Prague for a meeting, but I need to stop over in Paris for personal reasons. Will my flight still be eligible for reimbursement?",in-scope,,"The flight remains eligible for reimbursement as long as there is a valid Columbia business purpose. Kindly obtain a  flight comparison that aligns with the same parameters regarding date, location, and seating classification for a direct flight to Prague, excluding any personal travel. When submitting through Concur, please attach the flight comparison to the expense report. Columbia will assess and reimburse the lower-cost option.",Valid,
Who’s approval is pending for nn2514?,asking for individual status,,"The approval is pending Leyland Joseph,
Thanks ",External individual's record,
"Hello, I'm trying to submit my Concur reports, but Concur says it is ""submitted"" and the status does not change. Can you please advise?",in-scope,,"Hi Deborah,
I see the screen shot shows your submission is via a mobile device. For more consistent outcome, please try on your desktop.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127 ",Valid,
"Hi, I'm part of a graduate student organization in GSAS and used some of our club's funds for an event. I was told I need to submit my own expense report on Concur to get reimbursed, but I can't log in because I'm encountering an error. Can you help me to either log in or suggest an alternative way to get compensated? Thank you!",in-scope,,"Student Employees and Student Non-Employees by default have not been given access to Travel or Expense, but can be opted-in by a School / department DAF (Student Employees) or Accounts Payable (Student Non-Employees)",Valid,
"There's a bug in Concur. When I enter a hotel stay with itemized nights and change the transaction date, all the itemized nights change to that date, causing errors. This happened before with incident (INC2467691), and I had to fix it myself. It’s also happening with my current expense report. Can someone help?",in-scope,,"Thank you Gary.
I will relate the possible discrepancy between Hotel Folio date of stay vs credit charge date to the AP audit team. Please email me if i can help with anything else.

Thank you.
Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127
 ",Valid,
"Can you please recall the following expense report in Concur so I can revise it? It's for Mary Boyce's Paris expenses phase 2 for a total of 7,891.61 USD. The preparer delegate is not available to do it. Let me know if you have any questions!",asking for individual status,,Expense report was recalled. Please reopen ticket or give us a call if any additional questions,External individual's record,
What is the hotel threshold in Concur?,in-scope,,"Here is the job aid, please see page 5: 
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Itemizing_Lodging.pdf",Valid,
"Does Concur calculate mileage for me, so I don't need to provide a map printout? Can I claim tolls when doing that?",in-scope,,"Concur will calculate mileage for you so you don't need to provide a map printout. 
Tolls can be reimbursed when claiming personal car mileage.
",Valid,
"I changed the EURO amount to 71.38, but why is the USD amount only reimbursing me $75?",asking for individual status,,Changed EURO amount to 71.38 and USD amount is now $75.,External individual's record,
Can you provide more information on Supplier ID 0000258116?,in-scope,,Supplier ID   0000258116  has default wire location Expense can be processed through ARC on a check request,Valid,
What is the status of Concur Report Number XOX4PC?,asking for individual status,,"Hi Maryann,
Please always indicate who's Concur account the report you are referring to. I cannot search for non-submitted/returned reports.

In regards to it2276's report, the 600 Euros charge was not an issue. AP Audit team did not request for missing declaration. 

The XOX4PC report alert is for ""Other Accommodations $2,575.71"":
""Action: This rate exceeds the $350 per night (domestic) or $400 per night (international) hotel threshold and needs to be segregated."" 

Since Concur is looking at the $ amount $1,581.39 as single day expense, i would suggest breaking up $1581.39 into each day to resolve the red alert.

Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External individual's record,
How can I gain access to Concur?,in-scope,,Your Concur access has expired. Please speak with your supervisor about extending it via an FSSA.,Valid,
Should I use the receipt date or the credit card charge date for the transaction date on my meal in Concur?,in-scope,,"The transaction date can be either the date on the receipt or the date the credit card was charged.
In this situation it is better to use the date on the receipt (date meal was eaten). ",Valid,
What should I know about using Concur?,in-scope,,Expense report was missing report type.,Valid,
"I'm unable to create an expense report. After entering the header information, I receive an error message that says ""Sorry, but something went wrong with this task."" I’ve cleared my browser cache, but the error still occurs. What can I do?",in-scope,,"Hi Michelle,
I see you were able to create an expense report on your account.
Please email me if you have other questions.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"I need guidance on how to itemize my expense for a hotel cost of $1,019.49 and a travel grant of $800.00 in Concur. I'm only requesting $219.49. Can you please advise?",in-scope,,"Hi Ana,
Please use the ""Personal/Non Reimbursable"" expense type for amounts you do not wish get reimburse for.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",Valid,
"How can I get all my available expense reports assigned to my profile, uni ta2015?",asking for individual status,,"Hi Yawo,
Report under one account cannot be assigned to another person. report workflow is based on chartstrings.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",External individual's record,
What do I need to know about using Concur?,in-scope,,Report will go to the faculty's department for initial review then route to the financial approver in charge of the project.,Valid,
What is the status of report UNI JQ2240 DLD Research Center - CCHD Seminar costing $551.40?,asking for individual status,,"Report has not red alerts, he/she may submit report.",External individual's record,
I am unable to route ja658 to financial approver jg405. What should I do?,asking for individual status,,"The information provided on the phone call did not provide sufficient detail to assist fully. I took a look at the report and I can confirm that jg405 is a financial approver for department 7505102 (the department for the chartstring). It appears that the report is missing an initial reviewer. The initial reviewer is driven by the admin department number entered at the very top of the report header. Currently department 7503102 is listed in that section. The available initial reviewers for that department are:
wy2191 Wai Yin CU Concur Initial Reviewer DEPT_7503102 7503103 Vice Dean Administration
ty2203 Tara Yu CU Concur Initial Reviewer DEPT_7503102 7003302 CUMC Controllers Office

If you those are not the correct initial reviewers, you can change the admin department information at the top of the report header to the another department for Propper routing. If this does not help, please have Jean-Marie gives us a call or ask for screenshots of the error so that we can see exactly what is happening.",External individual's record,
I have a missing receipt declaration for a non-profited payee. What should I do?,in-scope,,The missing receipt declaration can be entered by the preparer of the non-profiled payee report.,Valid,
I'm confused about the different departments' chartstrings. Can someone clarify this for me?,in-scope,,Expense will route to the initial reviewer of home department and to the financial approver of the project owning department,Valid,
I can't login to Concur. Could I get help troubleshooting this issue?,in-scope,,Working on a different computer. Please reopen the incident if your issue is not resolved.,Valid,
"I'm unable to submit an expense for jkz2107, CNR0110148. Can you help me with this?",asking for individual status,,CNR0110148   has access to concur and can submit own expense report,External individual's record,
"I cannot find Malcolm Maas in Concur, but I need to process his expense reimbursement for AGU. Can you assist me?",asking for individual status,,Vendor classified as a supplier not outside party. Reimbursement must be processed via ARC,External individual's record,
I'm encountering an error with my traveling allowance that states adding this row would cause an itinerary overlap. What should I do?,in-scope,,I spoke with Kidest yesterday and she sent you instructions on how to manually enter the per diem. The issue was the 12/7 date. You can't submit a per diem twice for the same day so that is why it was causing an error.,Valid,
Who are the other initial reviewers for 5610104 that could be set up as approver delegates?,asking for individual status,,"5610104, other initial reviewers:
cd3275 Calan Dwyer
anb2144 Ashley Hoefly
sa3359 Saleha Awal
sj3315 Salowa Jashim Jessica
av2885 Alexander Velasquez
ac4062 Adina Cojoc",External individual's record,
"Even though KATHLEEN RITHISORN has completed her Concur approver training, her reports are still not routing to her. What steps should I take to resolve this?",asking for individual status,," KATHLEEN RITHISORN (kr2315) needs to be ""opted in as a Concur supervisor"" by one of your DAFs:
ANNA MARIE M. O'NEILL (amd16) Phone: 212/853-8772 | ANNA LENCZEWSKI (aw2045) Phone: 212/853-8776
If the DAF needs instructions they appear starting on pg. 2 of this job aid:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Training%20Guides/Training_Guide_Concur_Managing_Settings_DAFs.pdf",External individual's record,
Could someone clarify if da2152 for $319.98 is an expense or a request?,asking for individual status,,I don't see any requests for user da2152. I can confirm that there is an expense report number E1NRCA (report key 236120) for $319.98 for this user.,External individual's record,
