question,out-of-scope,question_note,human_answer,invalid_human_answer,answer_note
"I am having issues with the Concur allocation for a segregated expense that is not accepting the chart string. Please see the previous description of an earlier ticket, which was not resolved. The ticket number is INC2644643, and it was closed suddenly without a response.",asking for individual status/ capability limitation,,Able to enter the new chartstring.,,
I need help adding a hotel expense to my report in Concur.,in scope,,"Here is the job aid for hotel itemizations: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Itemizing_Lodging.pdf
If the charge was the same each night please see pg. 4
If the charge was different each night please see pg. 7",,
"How can I get Concur access reinstated for a part-time employee (affiliate), Karen Benedetto (kib2101), who previously had access?",in scope,,"HI Karen, Please submit new FSSA as a new RITM and expiration is required.
Thank you
-Kin",,
Can you explain the accrual process to me?,in scope,,Here is the job aid for the accrual process we discussed: https://www.finance.columbia.edu/sites/default/files/content/Finance%20Documents/Accounting%20Operations/Accrual_Basics_and_Guidance.pdf,,
I was told a delegate may enter my receipts in Concur for me. Can you advise me on how to follow up with my department about this?,in scope,,Delegate may enter these for you. Please follow up with your department.,,
"I would like to inquire about the expense for university sm4680, Report Key: 292727.",in scope,,"If expense is paid by cash , indicate that in the comment box and resubmit",,
"I have been having trouble logging into Concur. I receive the DUO notification for two-factor authentication, and after accepting it, I get an error message saying I cannot log in. I do not have an issue with my DUO, as I can use it for all other university logins. I've attached a picture of the error message.",asking for individual status/ capability limitation,,"Sri,
Your employment renewal is effective 7/1/24 and you will not be able to access concur before that date
Thanks",,
Will Concur be down at noon as well?,in scope,,Concur is available from June 27 noon  to July 1st,,
I have an expense for Alina Orlova that I need to discuss.,asking for individual status/ capability limitation,,Alina has a default ACH payment location,,
"Hello, how can I insert Paul Schuchert (ps2868) as an ad-hoc approver in Concur on report # 88LPW9? Kind regards.",in scope,,Ad hoc approver can be inserted by either the initial reviewer or Financial Approver,,
"I have a pending Corporate Card transaction for JS3119 for $120.77 that is disputed since the charges were made after checkout. Should I leave this transaction unreconciled until we hear back from Marriott, or should I reconcile it for the fiscal year-end closing?",asking for individual status/ capability limitation,,"Hi Hannah,
The charge can be reconcile before the dispute is settle. the Credit that will come can be process separately.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
I see there are yellow alerts on my expense report. Can you help me with this?,in scope,,Yellow alerts on a concur report are just warnings and do not stop the approval process,,
I'm unable to enter itineraries for multiple non-profiled payees. What should I do?,in scope,,"This is a known issue. Since it is technically under your uni, the system flags itineraries for various individuals as duplicates when submitting for non-profiled payees. The solution is to manually input the itineraries. Detailed instructions can be found on page 7 of this guide: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Per_Diem.pdf
Let me know if you have any questions.",,
I need help with the Concur report for uni aeg2188. Can you assist me?,asking for individual status/ capability limitation,,Document attached,,
Can you provide clarification on the returned Concur report IDD2001?,asking for individual status/ capability limitation,,Assisted caller with returned report.,,
I need information regarding the approvers for UNI: mc4640. Can you assist me with this?,asking for individual status/ capability limitation,,Provided initial reviewers and financial approvers for department 7555202. This user is linked to vendor ID 0000268438.,,
"I would like to ask about the university's policy regarding booking an Airbnb for a conference stay. Is it the same as hotels, with a $350 limit per night?",in scope,,"Airbnb and other home sharing platforms may not be used and are not allowed. Travelers are required to utilize hotels and other traditional lodging options when traveling on University business and lodging options that can be reviewed on Concur or you can seek assistance from World Travel.
In the event that hotels in a specific destination are completely sold out, please email ColumbiaTravel@columbia.edu details of the accommodations that are needed, i.e. the check in/check out dates, number of rooms required, etc.
Thanks",,
"I received a return message for Concur Report 1SDLGV requesting clarification on the flight itinerary receipt. I need to provide the complete pages showing the purchase/issue dates, points of departure and arrival, flight class, passenger name, and ticket amount. What should I do?",asking for individual status/ capability limitation,,"The document you provided is an estimate not a receipt. Please upload the receipt you received that includes the flight itinerary details and proof of payment. If you are unable to find this, please contact World Travel. ",,
One leg of my trip over 5 hours was in premium economy. How does this affect my expense report?,asking for individual status/ capability limitation,,Emily will submit the report as is. If anything else is needed AP will return the report.,,
Can you provide me with the Concur Expense Closing Schedule?,in scope,,"Concur Travel/Business Expense Reports
Concur will continue to be available to users during the ARC access lockout, AP will continue
to audit Expense Reports during this time. All Expense Reports that are fully approved
(departmental and AP) by June 26, 5pm will be paid in ARC on June 27. Expense Reports
submitted into workflow with at least a supervisor/initial reviewer approval and/or Travel and
Business Corporate Card transactions not assigned to an Expense Report (which is in
workflow) as of June 30 will be accrued through the automated ARC accrual process ensuring
that these expenses are reflected in FY24. Any Expense Report approved by AP during the
ARC access lockout will be paid on July 1.
Expense Reports which have not received at least a supervisor/initial reviewer approval and
Columbia Air/Rail Central Pay transactions not assigned to an Expense Report (which is in
workflow) will not be included in the ARC accrual process and will need to be addressed
Page 5 of 15
through a manual accrual process with the Controller's Office (detailed in Section 8,
REVENUE/EXPENSE ACCRUALS).
Expense Reports processed subsequent to the last file feeds from Concur will be posted in the
new fiscal year

See Year-End Transaction Processing Guidance  -
https://www.finance.columbia.edu/sites/default/files/content/Finance%20Documents/Accounting%20Operations/FY24%20Year-End%20Transaction%20Processing%20Guidance%20FINAL.pdf",,
I'm trying to understand the Concur reimbursement disbursement process. Can someone provide details?,in scope,,Job aid attached,,
"Hi, could you assist me in closing out the transactions for users who are no longer with CBS, specifically for Alexandra Kennedy and Doris Alcivar? Can these transactions be transferred to a CBS employee so we can close them out via an expense report? Thanks, Priya.",invalid,,"As you want these expenses assigned to Jamie  Bonadonna-Van Beverhoudt (jv2608),  Jamie would have to send us an email at corporatecard@columbia.edu making this request. Jamie should include a copy of the document you attached in this email. ",,
"I'm Justin Woodley (jw3572), and I'm receiving an error when I try to log into Concur. I've tried in three browsers and keep seeing the same error both yesterday and today. Can anyone help?",asking for individual status/ capability limitation,,issue is with the chartsting. please reach out to your finance department and make sure the chartstring has budget.,,
I have a Concur expense that is over 120 days old. Can I get more information on this?,in scope,,"If the Expense Report is submitted more than 120 days after the trip end date, the employee must provide justification for the late submission and this will require Financial Approver acknowledgement. Acceptable justification reasons in order to avoid imputed income include, but are not restricted to, the inability to submit a report due to medical reasons or being out of the country for an extended period of time with no internet access. The Executive Director of AP will review and determine if imputed income applies.

See Travel Expense Policy - https://universitypolicies.columbia.edu/content/travel-expense-policy",,
"I need to confirm if the cash advance for Jonathan S. Owen (jso2115) is still open in the system. Employee ID 10152097 submitted an expense report to reconcile a travel advance incorrectly, and we are trying to reconcile it correctly now, but we don't see the advance under his Concur profile. Please advise.",asking for individual status/ capability limitation,,Please see screen captures. cash advance 4k6c has been processed and paid.,,
"I've been added as an expense delegate, but I'm unable to prepare the report. Can anyone help me with this?",asking for individual status/ capability limitation,,"The PI added you, but did not select your permissions (see attached). Please have her make the selections, see job aid here: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Profile_Delegates.pdf
Thanks.",,
"Could you please assist me with my report from Concur? It was sent back to me due to missing documentation. I've made the necessary adjustments and resubmitted it, but I haven't heard back. I would really appreciate your assistance. Best, Ali.",asking for individual status/ capability limitation,,Report Key :291212Pending approval from Initial reviewer,,
I'm looking for information on the payment for report for UNI: nk2339. Can you help?,asking for individual status/ capability limitation,,"Confirmed under Report Details>Report Totals that the Corporate Card will get paid, not the employee.",,
I need help regarding an expense report. Can someone provide me with guidance?,asking for individual status/ capability limitation,,"Recapping our telephone conversation, this report is safe to submit. That screenshot you sent me via email is attached to this incident. The company Payments section shows the company is paying the employee $888, the employee is paying the company $0. There is also a section at the bottom labeled ""due employee"" showing $888 is due to you.
Let me know if you have any other questions.",,
"Mona's access to Concur is active, but she can't sign in because she's getting an error message about needing to complete the Anti-Harassment Training. What can she do?",in scope,,"Advised to call HRSC 851-2888 for direction where/how to complete Anti-Harassment Training.  Once completed, try to log in again in Concur.",,
I have a question about the Concur Expense Report.,in scope,,"Sondra,
Here is the link to the Job Aid -

https://www.finance.columbia.edu/content/creating-expense-reports-concur

Please call us back if you have more questions.

Thank you.",,
I can't log in to Concur because there's an Anti-Harrassment Training message. What should I do?,asking for individual status/ capability limitation,,Please complete the training to resolve the login issue.,,
"I'm following up on a travel advance for employee Kenneth Cordero. The request was approved, but Kenneth hasn't received the funds yet. Can you please review and advise?",asking for individual status/ capability limitation,,"He submitted a pre-trip request, which is required by all students and some school departments require it for employees as well. If your department requires employees to submit for pre-trip authorization and he needs a cash advance, he must submit a pre-trip request w/ advance. If he only needs the advance he can submit a travel cash advance.
Let me know if you have any other questions.",,
"Will Concur be available during the ARC lockout, and will reimbursements be sent out to employees leaving Columbia?",in scope,,Concur will continue to be available to users during the ARC access lockout but payments will not go out until July. Employees continue to have access to login to Concur and their CNR vendor profiles stay active for 45 days after their termination date.,,
I need confirmation that the reconciliation of the elw26 report 3AJUFF for the corporate card was done correctly. Can someone help with this?,asking for individual status/ capability limitation,,"I did a preliminary review and the reconciliation looks correct. Please bear in mind that we are not trained to do a full audit, so once the review takes place the auditors will respond if any edits are required. ",,
I need to submit an Attendees List for a group meal with more than 10 guests. What should I do?,asking for individual status/ capability limitation,,assisted caller with attendees list.,,
"I won’t have a CNR student vendor profile until I register for classes. Should I wait for that or ask the department about registering as an outside party vendor? Once my CNR profile is created, will I automatically have access to log in to Concur?",in scope,,"Will not have a CNR student vendor profile until registered for classes so can wait for that or ask department about registering as an outside party vendor. 
Once the CNR profile is created students do not have default access to login to Concur, usually the department would process the reimbursement on the student's behalf.",,
How do I recall a Concur report?,in scope,,User able to recall his expense report in Concur.,,
"Can you please reopen incident INC2636303? Also, what travel date should I refer to, and what discrepancy are you talking about? This is for a refund and not a reimbursement.",invalid,,"No reply to clarification in three days. Closing ticket.
",,
"For UNI JM5158, do I need to approve the pre-trip request for the Craniofacial Conference before the student can submit her expense report in Concur?",in scope,,"A pre-trip request is required for all Student Employees and Student Non-Employees with access to Concur in order to be reimbursed for travel related expenses.

Some Schools / administrative units may also require approved pre-trip requests for all travel, not just student travel.

If you are required to obtain a pre-trip approval, you will not be able to submit an Expense Report without the pre-trip approval attached.

https://travel-expense.finance.columbia.edu/content/travel-how-tos",,
"I have a pending report for UNI TE97 in Concur, and I'm looking for help with it. I've attached a screenshot for reference.",asking for individual status/ capability limitation,,"Hi Emma.
See attached screen shot.

Judy",,
"I heard that even though last Friday was the deadline, I can still enter expense reports in Concur. Is that true? And when will they be reviewed by Central AP?",in scope,,Concur is still available after last Friday's deadline and you can continue to enter expense reports. They will not be reviewed by Central AP until July.,,
"I need assistance with the hotel charges for my expense report related to Sabrina Law ASAIO 2024. Can someone help me organize the charges by date, including daily rates, fees, and taxes as specified?",in scope,,"User will resubmit after making corrections to her report:

The Hotel charges for the following expenses should be allocated
By date, daily rate, a line for Fees taxes and other. (Meal)
e.g., Hotel/Lodging $199
Taxes: $34.83
 $34.62 0528/24 meal",,
"Since my flight time is just under 5 hours, I understand that I need payee justification and department financial approval. What are the exact steps I need to follow, and how should I handle the economy fare documentation?",in scope,,"Since it is just under 5 hours this would require payee justification and  department financial approval:
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Policy_Exception_Approval_Workflow.pdf
The economy equivalent fare would need to be obtained at time of booking so that the expense can be properly segregated.",,
"Can I get an update on my reimbursement status? I saw the expense was reimbursed on 6/6 and I can now delete the $0 expense report, but I'd like to confirm everything is correct.",asking for individual status/ capability limitation,,The expense was reimbursed on 6/6. Can delete the $0 expense report.,,
"Hi, I'm trying to help Maria Mukhanova because she couldn't link her approved request (ID: 4T74) to her expense. What should we do next? Here's a snapshot for context. Thank you!",in scope,,"Hi Denise,
Unfortunately, Concur support have determined that reversing close request is not permitted for our setup. Your only option is to create a new request.
Thank you.

Kin Chiang
Columbia University in the City of New York
Concur Expense Administrator
615 W. 131st, 3rd floor
New York, NY 10027
Phone: 212-851-7127",,
I have a request for mm5737 under Requests>All Requests. How should I proceed with it?,in scope,,"
Located under Requests>All Requests",,
I need to update the hotel/lodging lines for th2258 to $350 and segregate the difference into two different lines. Can anyone help me with this process?,in scope,,"Change the hotel/lodging lines to $350, then put the difference in two lines for hotel lodging segregated.",,
"I'm receiving Report 4RYY in my Concur approval queue, but I no longer work for the Architecture school and am now at SIPA. Can you please help me understand why I was selected as an approver for this report?",asking for individual status/ capability limitation,,"i see the report in question has been processed. Please let me know if you still receive reports from your previous department.

Thank you
-kin
",,
How can I add a Fly America exemption form to Concur? I really need to complete this task.,in scope,,Please go to manage receipts then manage attachments. You can upload the form there.,,
"I need to submit my Concur reports, but I'm not sure how to proceed.",in scope,,"Two reports submitted for approval.  Your department will need to approve first, once approved by your FA then Central AP will audit and approve for payment.",,
I'm unable to submit my report because I'm getting an alert about payee submission. Can anyone help me with this?,asking for individual status/ capability limitation,,"The only issue I see preventing him from submitting is the payee submission issue. In order for us to troubleshoot his concur profile issues, he must call so we can walk him through and see what is happening. ",,
How can I add available expenses to my submitted reports?,asking for individual status/ capability limitation,,"Recap of telephone conversation
To add those available expenses you have to recall the report, then the system will allow you to move it the appropriate report. 

Note: The deadline for the FY24 Concur submissions was on 6/21 at 5p. It had to have department approval to be considered for FY24 review. ",,
"I received a message about a charge from the Corporate Card group, but I'm unsure if the email is legitimate and which trip it is related to. I don't have access to CONCUR, so I need guidance on this. Can someone advise? Thank you!",asking for individual status/ capability limitation,,"Verified that this transactions was reassigned to Christine Dermakardihjian for reconciling, and the report is now in status:  Sent for Payment.   Thank you.",,
"I have been receiving messages from the Corporate Card group, and I'm uncertain whether they're legitimate and which trip they refer to. Since I lack CONCUR access, could someone assist me? Thank you!",in scope,,"This is a valid email, and our records show that the charge has been re-routed to another user for reconciling.  Seems that the system originally routed to this user in error.  It has now been moved and reconciled, to prevent any further aging notifications.  
Best,",,
I would like some advice on itemizing my mobile and cell phone report based on the approver's request.,in scope,,"Advise the user that the entries will need to balance with the support uploaded into Concur.  So if a part is nonreimbursable, they can note it as Personal.  THank you.",,
Can anyone guide me on how to submit an expense report through Concur?,in scope,,"Here are the links for submitting an expense reports:
Creating Expense Reports in Concur | Columbia Finance: text: https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Creating_Expense_Reports.pdf

Travel expense report: (must include an overnight stay) Video: https://www.finance.columbia.edu/content/creating-and-submitting-travel-expense-report

Business expense report (does not include an overnight stay) video: https://travel-expense.finance.columbia.edu/content/video-creating-and-submitting-business-expense-report",,
I'm trying to reconcile a hotel bill that was split into two charges on the same day. How should I itemize this?,in scope,,"
Will have to split the itemization between the two charges and enter a comment explaining that it is the same hotel stay but the hotel split it into two transactions.",,
I have a pending expense report in Concur that I can't submit because it gives me an error message about the end date being over 365 days old. What can I do to resolve this?,in scope,,"Informed user that they will need to modify the Report header Travel dates, so that it is less than 365, and note the actual travel dates in the Comments.  This should allow the submission of the report.
THank you.",,
Can someone provide instructions on creating expense reports and reconciling Central Pay transactions?,in scope,,"1. Here is the Quick Guide on creating expense reports: https://www.finance.columbia.edu/content/concur-expense-report-quick-guide
2. And here is a tip on reconciling Central Pay transactions: https://travel-expense.finance.columbia.edu/news/how-do-i-reconcile-corporate-card-or-airrail-central-pay-transactions",,
Why am I receiving reminders to submit my Concur report when my trip has not occurred yet?,in scope,,If the trip has not occurred you can ignore those reminders. They are just reminders letting you know the fiscal year deadlines. You can try to add it to a report to and not submit it until you are ready. That often stops the reminde,,
What is the procedure for listing attendees for a group meal with more than 10 people?,in scope,,"Per the job aid found here: https://travel-expense.finance.columbia.edu/news/how-do-i-add-attendeesrecipients-group-meal-entertainment-or-gift-expense
For Group Meals or Entertainment - If the number of attendees exceeded 10 people, select Group Event – 10+ Attendees for the Attendee Type, enter an Event Name, and then enter the number of attendees",,
"I don't understand why Paula Buchanan is being listed as an out-of-department approver. Shouldn't I, Denise Dunlop, or Charly Vergara be her approvers instead?",in scope,,Provided instructions to update the School/Division/Sub-Division and Admin Dept.,,
"Can Marjorie select Karen Burgos Santana as the initial reviewer for the expense report, and will she be able to return the report if she is not the correct person?",asking for individual status/ capability limitation,,Marjorie will select Karen Burgos Santana who can return the report if she is not the correct person to select.,,
The receipt says 'open item' but the items were paid. Can I get clarification on this?,asking for individual status/ capability limitation,,Attached receipt to the report and note that it was paid.,,
"What is the booking fee for travel related to UNI: jm5092, and how can I handle this in my reconciliations?",in scope,,Booking fee was not on previous expense report. Christina will create a new report to reconcile the booking fee.,,
My Concur ID is inactive. How can I submit my expenses?,asking for individual status/ capability limitation,,"Your concur ID will not be reactived until you start working. There is a 45 day grace period after your last day in which it remains active. After the grace period has expired, you either have to wait until you become active again or have your department submit on your behalf.  As there are time constraints, you should not wait. Please reach out to your department and ask for them to submit on your behalf. The vendor ID number they should use is 0000243027. 
Note you will not be able to submit this, it has to be done by your department. ",,
"As a postdoctoral research scientist and a member of the Postdoc union, how can I file an expense report for my visa renewal expenses to get reimbursed by the department? Can I file this on Concur since it is mainly for travel?",in scope,,Concur is used for both travel and business expenses. Here is a Quick Guide on submitting expense reports: https://www.finance.columbia.edu/content/concur-expense-report-quick-guide,,
"I have available expenses to reconcile in FY25, but I've received a reminder about the FY24 closing. What should I do?",in scope,,"Those are just reminders for the FY24 close date. If your report does not need to be reconciled for budgeting reasons in FY24, then you can ignore it. As long as your department did not approve on or before June 21, it will be processed in FY25. ",,
I need help with a duplicate charge from Lucerne. How should I address this?,in scope,,"Any expense that shows an expense type of  ExpenseIT, is something that was scanned it by the user. It can be deleted by selecting the expense and clicking delete. 
Thanks ",,
I'm trying to reconcile credit in Concur but I'm not sure how to proceed.,invalid,,Assisted caller,,
I need information about the UNI MDB3 report in Concur.,in scope,,"Here is the link to the Job Aid -

https://travel-expense.finance.columbia.edu/news/how-do-i-reconcile-corporate-card-or-airrail-central-pay-transactions",,
"I submitted CONCUR reports 2ELMW7, 3PLTT8, and ODFNYE as a delegate for Danielle Laraque-Arena, but all three are showing as not submitted with alerts. Can you please provide instructions on how to remove the alerts and submit these reports?",asking for individual status/ capability limitation,,"You can't submit the reports as a delegate. It must be submitted by the payee. The alert that is holding up the submission: The payee must submit the report for processing. This exception will clear when the payee submits the report. The attempted submission of this report by the Preparer Delegate will trigger a system generated email overnight notifying the payee that the report should be ready for their submission. Please notify the payee if the report is not ready to be submitted

You are getting this alert because she must submit. It can't be submitted by anyone but her.
Why is she unable to submit?",,
I'm unable to submit the UNI DL3365 report for Laraque Arena for Toronto in May 2024. I will try logging in as a delegate. Can you help?,invalid,,Mani will clear browser cache and restart her computer.,,
"I am trying to complete a travel expense for a physician who is speaking at a conference, but I can't find the vendor ""Royal Caribbean Group"" listed. Can you please add it so that I can proceed with reimbursement? Thank you.",in scope,,"Please start typing ""other"" into the vendor field and the ""other (comment required)"" option will come up. You can then enter the name of the vendor into the Comment/Justification box. ",,
"I need to reset my password to log into Concur, as I am unable to access my account.",invalid,,"Hello, 

We have not heard back from you for several days now and the Service Center has marked the incident as resolved. If you do not feel this issue was resolved, please re-open this incident for further assistance.

Thank You.
",,
"I have a journal voucher for a Concur expense related to UNI BW2562, specifically for flight and booking fees from FY23. Can you assist me with this?",asking for individual status/ capability limitation,,Advised to create an ITF instead to transfer between accounts since this transaction is from last fiscal year.,,
I need help with the cash advance reconciliation for UNI SM4680. What steps do I need to take?,in scope,,"Here is the link to the Job Aid as requested - 

https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Reconciling_Requests.pdf",,
I've confirmed through report details that the Central Pay card will be paid. I have the emailed confirmation as a receipt that I can upload. What should I do next?,asking for individual status/ capability limitation,,Confirmed under Report Details>Report Details that the Central Pay card will be paid. The emailed confirmation can be uploaded as the receipt.,,
"I noticed that some expenses I uploaded to Concur are no longer available. Can they be retrieved? Edwin recalls uploading expenses all year, dating back to last summer, and is now trying to submit them but many are gone. What can be done?",in scope,,"Provided user with a link to the Job Aid for Viewing Past Concur Expense REports.
Thank you.",,
I got locked out of Concur in February along with my ARC access. Can someone help me as Karen will work with my department to get my access reinstated?,invalid,,Locked out in February (along with ARC access). Karen will work with her department to get her access reinstated.,,
"I am the only Initial Reviewer for expense report 7575304, and I can't approve an expense report that I submitted. Can you either add another Initial Reviewer or have someone else in my department enter the expense report?",asking for individual status/ capability limitation,,Russ is the only Initial Reviewer for 7575304 and he can't approve an expense report he submits. Either add another Initial Reviewer or have someone else in the department enter the expense report.,,
"I booked travel for Katey Eickhoff, a student who works for CUEMS, for a conference, but I later cancelled her ticket as she did not attend. Can you please guide us on how we can proceed to reconcile this now that she doesn't have access to Concur? Can this credit be moved to Rosanna's profile so that she can reconcile it? I've attached the relevant emails regarding the cancellation and previous communication.",invalid,,We have now transfered the Air/Rail Central pay transaction to rb3263 (from orig kce2113).  Thank you.,,
I received a message from AP regarding report id 77A296F296F74EACBE9C for Xin Yang's Farewell lunch on 4.24.24. They mentioned that I need to provide Ad Hoc Senior Business Officer approval prior to the Accounts Payable approval in Concur. What justification do I need to document around the policy departure for the Senior Business Officer to evaluate the situation?,asking for individual status/ capability limitation,,"Verified that the amounts are not correct, which is why the SBO was not entered.  AP has advised to Recall, UPdate the amounts and Resubmit.  Thank you!",,
"Since the net amount for my report is $0, should I just submit it as is even though the receipt amount doesn't match? I was advised that if AP has any questions, they will return the report.",in scope,,Since the net amount is $0 should be ok that the receipt amount doesn't match. Advised to submit as is and if AP has any questions they will return the report.,,
Can you provide me with instructions on how to create a report as a delegate under the faculty's profile?,in scope,,"Provided instructions to ""act as"" the faculty to create the report under their profile.",,
Can you clarify what CNR0142414 relates to with Alina Orlova?,asking for individual status/ capability limitation,,resolved,,
I'm having trouble in Concur because I can't find the chartstring. Can someone help with this issue?,in scope,,walked through updating the default,,
"I am a CONCUR delegate for Prof. Sid Hemming, but I'm unable to see much or do anything like entering expenses or preparing a report on her behalf. Can someone advise me on this issue? Thank you, Yasmin.",in scope,,Issue with check marks not being checked for delegate settings.,,
Can someone assist me with my Concur Expense Report?,asking for individual status/ capability limitation,,"Hello,
Your requested information was provided to you in this incident and we have not heard back from you for several days now and the Service Center has marked the incident as resolved. If you do not feel this issue was resolved, please re-open this incident for further assistance.

Thank you.

",,
"I can't change the approver for report E630C104E9FF46A38EDB in Concur because the initial approver is on leave, and I don't have an option to choose a different approver.",asking for individual status/ capability limitation,,"My recommendation would be to discuss this with Josh Sakolsky, js2381, in A&S administration.
Josh could ""opt out"" Jessica as a Concur supervisor while she is on medical leave (she can be opted back in once she returns). You would then have to select an Initial Reviewer to approve the report. The only Initial Reviewer for department 4027102 is Kazue Tomiyama also in A&S administration. Other people could be added as Initial Reviewers but Josh would need to decide how he wants to handle this.
",,
I'm frustrated because I'm not getting workable help on how to resolve these aged expense reports that I inherited. Can someone from AP please reach out to give me a more comprehensive plan for resolving these old (older than 365 days) expense reports?,asking for individual status/ capability limitation,,"Anita,
I heard from AP and they assigned these items to you to resolve I am told!
-John
",,
Can I book the flight through Concur for study participants since anyone with the Travel Arranger role can do this? I understand that it gets charged to the chartstring when the transaction is reconciled.,in scope,,Can book the flight through Concur (anyone with the Travel Arranger role can do this). It gets charged to the chartstring when the transaction is reconciled (added to an expense report which gets approved).,,
"I need clarification regarding the mh29 alert about ""Reminder, segregated expenses cannot be allocated to Sponsored Projects"" even though the segregated expense is charged to a GT project. Will this warning prevent the submission of my report?",asking for individual status/ capability limitation,,Confirmed the segregated expense is charged to a GT project. The warning will continue to appear but will not prevent the submission of the report.,,
"I’m looking for information related to the new hire with Employee ID 10292919, specifically CNR0151745 HANKYU LEE and their active employee profile.",in scope,,HANKYU LEE can create his expense reports in Concur.,,
How do I go about creating an Expense Report in Concur?,in scope,,"Marcela,
Here it the link to the Job Aid -
https://www.finance.columbia.edu/sites/default/files/content/Training%20Documents/Concur/Job%20Aids/Job_Aid_Concur_Creating_Expense_Reports.pdf

Thank you,
Judy",,
"I have fixed the report name and added speedchart information to the business purpose for the returned expense report. Frances will follow up with the person who returned it since receipts are not required for expenses under $50 (unless they're for airfare, car rental, lodging, or rail). What should I do next?",asking for individual status/ capability limitation,,"Fixed report name and added speedchart information to business purpose. Frances will follow up with the person who returned the report as receipts are not required for expenses under $50 (that are not for airfare, car rental, lodging or rail).",,
What is the process for Concur report allocation? Can someone guide me through it?,in scope,,"Here are some Job Aids for allocating expenses in Concur:

https://travel-expense.finance.columbia.edu/news/how-do-i-allocate-expenses-multiple-chartstrings

https://travel-expense.finance.columbia.edu/news/how-do-i-edit-chartstring-my-expense-report",,
"I have a meal expense for $59, but I don't have an itemized receipt. Can I still submit this expense?",in scope,,"User will try to get itemize receipt from the merchant, and if not advised to submit a Missing Receipt Declaration.",,
Nathan will submit the expenses for items on my spouse's credit card with a comment since the receipts show my spouse's name and card number. Is there anything else I need to do?,invalid,,Nathan will submit with a comment since the receipts show the spouses's name and card number.,,
"I noticed that in Concur, breakfast was itemized even though it wasn't necessary, and it seems to be getting double counted. I'm also confused about a hotel fee and would like more information about which trip or person that might be related to.",invalid,,We fixed the one issue by removing the itemization and we figured out which hotel charge the fee was related to (which was cancelled so the fee needed to be reconciled),,
I have a question about the meal expense in Concur.,in scope,,"Here it the Job Aid for Itemizing Meal Expense in Concur -

https://travel-expense.finance.columbia.edu/news/how-do-i-itemize-meal-expense",,
I have a question about my expense report.,in scope,,Please reach out to CUIT for password reset,,
I'm getting an error saying 'This entry cannot be submitted until a Travel Allowance Itinerary is created.' I had to change the GSA question to NO on the details tab and also uncheck the GSA question on the itemization line. Could you help me with this?,invalid,,Had to change the GSA question to NO on the details tab and also uncheck the GSA question on the itemization line.,,
"I'm trying to create an expense report for Dr. Michael Bohnen on my profile. I've searched under outside party, employee, and student, but his name doesn’t appear in any of those selections. Can I create the report on his behalf, or do I need to access his Concur report as a delegate? Also, does he have Concur access?",asking for individual status/ capability limitation,,"Kristina,
Dr. Michael Bohnen has access to concur. If you want to create his expense report he needs to assign you as a delegate.
Thanks",,
"I need to remove excess tips over 20% for UNI: mm3117. The total is $227.30, including tax plus tip, so I moved the reset to personal/non-reimbursable. Can you guide me on this?",in scope,,"$227.30 - total tax + tip at 20% of the subtotal, moved the reset to personal/non-reimburseable.
",,
"I've created a Concur Report #JHW5QT Report ID# CF6E7878AB1F4EE6BCBC for graduate student Jealool Amari's GSAS Matching Travel Award, which is to be administered by MESAAS. Our DAAF, Jess Rechtschaffer, is the supervisor approver, but she is currently out on medical leave. Since this is a non-profiled payee report charged to a non-sponsored project, should it require supervisor or initial reviewer approval?",invalid,,"Thank you Jason for your response. i will close this incident.
Thank you
-Kin",,
I need to add both credit and charge expenses to the same expense report and enter a comment indicating that the travel was refunded. How do I do that?,in scope,,Add both expenses to the same expense report and enter a comment that the travel was refunded.,,
I've noticed a pending card transaction in Concur from 5/23/24. I cannot submit my expense report until this transaction is linked to my corporate card. I've checked my Global Card Access bank statement and confirm the transaction is there. Can you assist me with this?,asking for individual status/ capability limitation,,"Per user, he will delete transaction as duplicate since expense report has already been submitted.

Ian, thank you for the update!",,
I have an inquiry regarding traveling in Premium Economy through Concur.,in scope,,Provide a price comparison  and segregate.,,
What is the current available expense I can report?,in scope,,All available expenses need to be reconciled whether it is a debit or credit,,
How do I reconcile a personal charge on my corporate card in Concur? I understand I need to use the expense type 'personal/non-reimburseable' and upload proof of the return of funds as the receipt.,in scope,,"Use expense type ""personal/non-reimburseable"" and upload proof of the return of funds as the receipt.",,
"I'm having trouble expensing a charge in my Concur portal. It appears in my travel tab to expense, but when I click on it, I get an error message and it's not showing in my queue to be reconciled. Can you help me resolve this soon since the fiscal year is coming to a close?",in scope,,It can take approximately 2-5 business days for the expenses to appear for you in Concur.,,
